         65111546 function calls (54041722 primitive calls) in 109.898 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 __init__.py:177(register_decomposition)
      166    0.000    0.000    0.000    0.000 __init__.py:190(_for)
       88    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        4    0.000    0.000    0.001    0.000 __init__.py:205(decomposition_decorator)
       95    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
      166    0.000    0.000    0.000    0.000 __init__.py:211(matches)
        4    0.000    0.000    0.001    0.000 __init__.py:214(register)
       98    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.001    0.001    0.002    0.002 __init__.py:224(get_decompositions)
       98    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
      332    0.000    0.000    0.000    0.000 __init__.py:231(<genexpr>)
     5210    0.004    0.000    0.004    0.000 __init__.py:233(_tensor_or_tensors_to_tuple)
        1    0.000    0.000    0.000    0.000 __init__.py:24(is_available)
     5210    0.062    0.000    1.513    0.000 __init__.py:243(backward)
       11    0.000    0.000    0.010    0.001 __init__.py:267(_make_prim)
        9    0.000    0.000    0.062    0.007 __init__.py:2672(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:29(Backend)
       10    0.000    0.000    0.000    0.000 __init__.py:316(<listcomp>)
        2    0.000    0.000    0.005    0.003 __init__.py:326(__getattr__)
       30    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.013    0.013 __init__.py:35(_discover_backends)
        1    0.000    0.000    0.000    0.000 __init__.py:35(_is_compiled)
        2    0.000    0.000    0.000    0.000 __init__.py:354(select)
       27    0.000    0.000    0.000    0.000 __init__.py:356(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:359(<genexpr>)
      126    0.000    0.000    0.002    0.000 __init__.py:379(_from_text_for)
    78150    0.031    0.000    0.039    0.000 __init__.py:380(is_compiling)
      292    0.000    0.000    0.001    0.000 __init__.py:381(<genexpr>)
      126    0.000    0.000    0.000    0.000 __init__.py:383(_from_text)
      126    0.000    0.000    0.000    0.000 __init__.py:387(_parse_groups)
      292    0.000    0.000    0.001    0.000 __init__.py:389(<genexpr>)
     5210    0.005    0.000    0.005    0.000 __init__.py:39(is_built)
      154    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(__sympy_debug)
      166    0.000    0.000    0.000    0.000 __init__.py:420(_make)
      166    0.000    0.000    0.000    0.000 __init__.py:430(_replace)
      177    0.000    0.000    0.000    0.000 __init__.py:44(_running_with_deploy)
        2    0.000    0.000    0.007    0.004 __init__.py:456(load)
       28    0.000    0.000    0.000    0.000 __init__.py:461(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:463(_all)
       35    0.000    0.000    0.000    0.000 __init__.py:482(_sharded_op_impl)
        2    0.000    0.000    0.000    0.000 __init__.py:484(select)
        1    0.000    0.000    0.000    0.000 __init__.py:51(NoEnterTorchFunctionMode)
        6    0.000    0.000    0.000    0.000 __init__.py:54(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:550(discover)
       17    0.000    0.000    0.000    0.000 __init__.py:56(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:564(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:565(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:577(_discover_resolvers)
        8    0.000    0.000    0.000    0.000 __init__.py:580(<genexpr>)
      126    0.000    0.000    0.005    0.000 __init__.py:629(entry_points)
        4    0.000    0.000    0.001    0.000 __init__.py:64(_add_op_to_registry)
        2    0.000    0.000    0.000    0.000 __init__.py:640(update)
        1    0.000    0.000    0.000    0.000 __init__.py:65(invalidate_caches)
        2    0.000    0.000    0.000    0.000 __init__.py:746(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:749(path)
        1    0.000    0.000    0.000    0.000 __init__.py:777(__new__)
       12    0.000    0.000    0.000    0.000 __init__.py:781(__init__)
       88    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:787(children)
        2    0.000    0.000    0.000    0.000 __init__.py:794(zip_children)
       12    0.000    0.000    0.000    0.000 __init__.py:801(search)
       12    0.000    0.000    0.000    0.000 __init__.py:804(mtime)
        3    0.000    0.000    0.000    0.000 __init__.py:810(lookup)
        3    0.000    0.000    0.000    0.000 __init__.py:816(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:837(search)
        2    0.000    0.000    0.000    0.000 __init__.py:859(__init__)
      126    0.000    0.000    0.000    0.000 __init__.py:866(normalize)
       24    0.000    0.000    0.000    0.000 __init__.py:881(__bool__)
        2    0.000    0.000    0.000    0.000 __init__.py:886(find_distributions)
     5210    0.087    0.000    0.142    0.000 __init__.py:89(_make_grads)
        2    0.000    0.000    0.000    0.000 __init__.py:899(_search_paths)
        4    0.000    0.000    0.012    0.003 __init__.py:9(_load_module)
       14    0.000    0.000    0.000    0.000 __init__.py:903(<genexpr>)
      126    0.000    0.000    0.000    0.000 __init__.py:912(__init__)
      126    0.000    0.000    0.003    0.000 __init__.py:919(read_text)
        4    0.000    0.000    0.000    0.000 __init__.py:93(_convert_out_params)
      126    0.000    0.000    0.002    0.000 __init__.py:934(_normalized_name)
      126    0.000    0.000    0.000    0.000 __init__.py:946(_name_from_stem)
        2    0.000    0.000    0.000    0.000 __init__.py:972(distributions)
        2    0.000    0.000    0.007    0.004 __init__.py:999(entry_points)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _adapters.py:11(__init__)
        2    0.000    0.000    0.000    0.000 _adapters.py:15(__getattr__)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(TraversableResourcesLoader)
        2    0.000    0.000    0.000    0.000 _adapters.py:24(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:27(get_resource_reader)
        1    0.000    0.000    0.000    0.000 _adapters.py:31(DegenerateFiles)
        1    0.000    0.000    0.000    0.000 _adapters.py:37(Path)
        1    0.000    0.000    0.000    0.000 _adapters.py:56(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:59(_reader)
        1    0.000    0.000    0.000    0.000 _adapters.py:6(SpecLoaderAdapter)
        1    0.000    0.000    0.000    0.000 _adapters.py:64(_native)
        2    0.000    0.000    0.000    0.000 _adapters.py:78(wrap_spec)
        1    0.000    0.000    0.001    0.001 _address.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _address.py:12(Address)
        1    0.000    0.000    0.000    0.000 _allocation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _allocation.py:10(Allocator)
        1    0.000    0.000    0.000    0.000 _allocation.py:16(NullAllocator)
        1    0.000    0.000    0.000    0.000 _allocation.py:4(Buffer)
        2    0.000    0.000    0.003    0.002 _api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _api.py:117(_FromTorchTensor)
        1    0.000    0.000    0.000    0.000 _api.py:142(BaseFileLock)
        8    0.000    0.000    0.000    0.000 _api.py:147(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _api.py:213(DTensor)
        1    0.000    0.000    0.000    0.000 _api.py:33(AcquireReturnProxy)
        1    0.000    0.000    0.000    0.000 _api.py:51(FileLockContext)
        1    0.000    0.000    0.000    0.000 _api.py:69(_ToTorchTensor)
        1    0.000    0.000    0.000    0.000 _api.py:77(ThreadLocalFileContext)
        1    0.000    0.000    0.000    0.000 _api.py:81(FileLockMeta)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:17(BytesWriter)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:18(__init__)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:21(write_uint64)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:36(BytesReader)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:66(AppendingByteSerializer)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:76(__init__)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:86(clear)
        1    0.000    0.000    0.002    0.002 _artifact.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _artifact.py:17(Artifact)
        1    0.000    0.000    0.001    0.001 _artifact_change.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _artifact_change.py:16(ArtifactChange)
        1    0.000    0.000    0.001    0.001 _artifact_content.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _artifact_content.py:15(ArtifactContent)
        1    0.000    0.000    0.001    0.001 _artifact_location.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _artifact_location.py:12(ArtifactLocation)
        1    0.000    0.000    0.001    0.001 _attachment.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _attachment.py:18(Attachment)
        3    0.000    0.000    0.000    0.000 _backport_slots.py:22(dataclass_slots)
        3    0.000    0.000    0.000    0.000 _backport_slots.py:47(_add_slots)
       24    0.000    0.000    0.000    0.000 _backport_slots.py:59(<genexpr>)
        1    0.000    0.000    0.000    0.000 _binary_ufuncs_impl.py:1(<module>)
       57    0.000    0.000    0.000    0.000 _builtins.py:148(_get_builtin_table)
       57    0.000    0.000    0.000    0.000 _builtins.py:188(_register_builtin)
        1    0.000    0.000    0.004    0.004 _cache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cache.py:21(CacheArtifactType)
        1    0.000    0.000    0.000    0.000 _cache.py:32(CacheArtifact)
        1    0.000    0.000    0.000    0.000 _cache.py:56(CacheInfo)
        1    0.000    0.000    0.000    0.000 _cache.py:87(CacheArtifactManager)
        1    0.000    0.000    0.000    0.000 _casting_dicts.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _code_flow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _code_flow.py:16(CodeFlow)
        6    0.000    0.000    0.000    0.000 _collections.py:23(freeze)
      166    0.000    0.000    0.000    0.000 _collections.py:28(parse)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
       17    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
     5409    0.012    0.000    0.042    0.000 _collections_abc.py:821(get)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:840(items)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:862(__init__)
       66    0.000    0.000    0.000    0.000 _collections_abc.py:909(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:928(__iter__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
        1    0.000    0.000    0.098    0.098 _collective_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collective_utils.py:240(MeshTopoInfo)
        3    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _common.py:12(_sharded_op_common)
        1    0.000    0.000    0.000    0.000 _common.py:17(files)
        4    0.000    0.000    0.000    0.000 _common.py:41(decorator_sharded_func)
        1    0.000    0.000    0.000    0.000 _common.py:55(resolve)
        1    0.000    0.000    0.000    0.000 _common.py:60(get_package)
        4    0.000    0.000    0.000    0.000 _common.py:62(_register_sharded_op_on_local_shards)
        1    0.000    0.000    0.000    0.000 _common.py:72(from_package)
        1    0.000    0.000    0.000    0.000 _common_rules.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _common_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common_utils.py:107(_FSDPState)
        1    0.000    0.000    0.000    0.000 _common_utils.py:167(TrainingState)
        1    0.000    0.000    0.000    0.000 _common_utils.py:177(HandleTrainingState)
        1    0.000    0.000    0.000    0.000 _common_utils.py:57(_FSDPDeviceHandle)
        1    0.000    0.000    0.000    0.000 _common_utils.py:99(_UninitializedDeviceHandle)
        6    0.000    0.000    0.000    0.000 _compatibility.py:12(compatibility)
        6    0.000    0.000    0.000    0.000 _compatibility.py:29(mark_not_back_compat)
       15    0.000    0.000    0.000    0.000 _compile.py:27(_disable_dynamo)
     5211    0.013    0.000    1.745    0.000 _compile.py:41(inner)
        1    0.000    0.000    0.000    0.000 _composable_state.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _composable_state.py:7(_State)
      910    0.000    0.000    0.000    0.000 _config_module.py:113(string_or_list_of_string_to_list)
       10    0.000    0.000    0.000    0.000 _config_module.py:143(Config)
        5    0.000    0.000    0.000    0.000 _config_module.py:156(_read_env_variable)
        3    0.000    0.000    0.029    0.010 _config_module.py:165(install_config_module)
        3    0.000    0.000    0.000    0.000 _config_module.py:172(ConfigModuleInstance)
     12/3    0.001    0.000    0.002    0.001 _config_module.py:176(visit)
        3    0.005    0.002    0.027    0.009 _config_module.py:240(get_assignments_with_compile_ignored_comments)
      455    0.000    0.000    0.000    0.000 _config_module.py:306(__init__)
        6    0.000    0.000    0.000    0.000 _config_module.py:357(__setattr__)
       11    0.000    0.000    0.000    0.000 _config_module.py:369(__getattr__)
       10    0.000    0.000    0.000    0.000 _config_module.py:412(_get_alias_module_and_name)
       10    0.000    0.000    0.000    0.000 _config_module.py:425(_get_alias_val)
